#     BLOCK:         BIN_CENTER:           ACTUAL_V:              V_AVE:              ERROR:
          15             4.42949           0.0847115           0.0601691          0.00779835
          15             4.71527           0.0289662           0.0376215          0.00595618
          15             5.00104           0.0165405           0.0179921          0.00377646
          15             5.28682           0.0255641          0.00915427          0.00238873
          15             5.57259            0.029922          0.00683006           0.0023109
          15             5.85836          9.7202e-05          0.00250781         0.000956302
          15             6.14414                   0         0.000595092         0.000537023
          15             6.42991                   0          0.00178096          0.00118168
          15             6.71568                   0          0.00192676          0.00127221
          15             7.00146                   0         9.18019e-05          8.8689e-05
          15             7.28723                   0                   0                   0
          15             7.57301                   0                   0                   0
          15             7.85878                   0                   0                   0
          15             8.14455                   0                   0                   0
          15             8.43033                   0                   0                   0


          16            0.142887          0.00265685          0.00176887         0.000612174
          16            0.428661           0.0366289           0.0390904          0.00418706
          16            0.714435            0.177944            0.116628            0.010434
          16             1.00021            0.232442            0.197671           0.0112581
          16             1.28598            0.260517            0.321404           0.0155898
          16             1.57176            0.371911            0.329402           0.0129744
          16             1.85753            0.312634            0.382023           0.0138061
          16              2.1433            0.317867            0.392044           0.0173681
          16             2.42908            0.428353            0.373277           0.0147117
          16             2.71485            0.292821            0.335705           0.0140652
          16             3.00062            0.257585            0.288257            0.010959
          16              3.2864            0.291298            0.217908          0.00978045
          16             3.57217            0.205161            0.142933           0.0087772
          16             3.85795           0.0873198            0.115407           0.0103621
          16             4.14372           0.0654007            0.105829          0.00888425
          16             4.42949           0.0573168           0.0599908          0.00731299
          16             4.71527           0.0431739           0.0379685          0.00559402
          16             5.00104           0.0166053           0.0179054          0.00354143
          16             5.28682           0.0343933           0.0107317          0.00271069
          16             5.57259          0.00677174          0.00682641          0.00216648
          16             5.85836          0.00046981          0.00238044         0.000904976
          16             6.14414                   0         0.000557899         0.000504745
          16             6.42991                   0          0.00166965          0.00111306
          16             6.71568                   0          0.00180634          0.00119839
          16             7.00146                   0         8.60642e-05         8.33313e-05
          16             7.28723                   0                   0                   0
          16             7.57301                   0                   0                   0
          16             7.85878                   0                   0                   0
          16             8.14455                   0                   0                   0
          16             8.43033                   0                   0                   0


          17            0.142887          0.00413108          0.00190783         0.000591724
          17            0.428661           0.0556481           0.0400644          0.00405246
          17            0.714435            0.165908            0.119527           0.0102149
          17             1.00021            0.171578            0.196136              0.0107
          17             1.28598              0.2426            0.316769           0.0153465
          17             1.57176            0.276815            0.326309           0.0125746
          17             1.85753            0.377775            0.381773           0.0129962
          17              2.1433            0.355241            0.389879           0.0164808
          17             2.42908            0.438543            0.377116           0.0143385
          17             2.71485            0.519901             0.34654           0.0169036
          17             3.00062              0.2206            0.284277           0.0110133
          17              3.2864            0.235245            0.218927          0.00925815
          17             3.57217            0.149221            0.143303          0.00826869
          17             3.85795           0.0823949            0.113465           0.0099329
          17             4.14372           0.0827999            0.104474          0.00846429
          17             4.42949           0.0104654           0.0570776           0.0074405
          17             4.71527           0.0309264           0.0375543          0.00528028
          17             5.00104           0.0402578           0.0192203          0.00356886
          17             5.28682           0.0318012           0.0119711          0.00282038
          17             5.57259          0.00741975          0.00686132          0.00203932
          17             5.85836                   0          0.00224041         0.000862507
          17             6.14414                   0         0.000525081          0.00047612
          17             6.42991                   0          0.00157143          0.00105191
          17             6.71568                   0          0.00170008          0.00113259
          17             7.00146                   0         8.10016e-05         7.85831e-05
          17             7.28723                   0                   0                   0
          17             7.57301                   0                   0                   0
          17             7.85878                   0                   0                   0
          17             8.14455                   0                   0                   0
          17             8.43033                   0                   0                   0


          18            0.142887          0.00638293          0.00215644         0.000608843
          18            0.428661           0.0448263           0.0403289          0.00383595
          18            0.714435           0.0474994            0.115525           0.0104017
          18             1.00021            0.150614            0.193607           0.0104001
          18             1.28598            0.266204             0.31396           0.0147488
          18             1.57176            0.271712            0.323276           0.0122363
          18             1.85753            0.393895            0.382447           0.0122916
          18              2.1433            0.520419            0.397131           0.0170865
          18             2.42908            0.462568            0.381863           0.0143062
          18             2.71485            0.334148            0.345852           0.0159785
          18             3.00062            0.369886            0.289033           0.0113821
          18              3.2864            0.243588            0.220297           0.0088446
          18             3.57217             0.11141            0.141531          0.00799691
          18             3.85795           0.0957925            0.112483          0.00942947
          18             4.14372           0.0336643             0.10054          0.00886118
          18             4.42949           0.0631975           0.0574176           0.0070349
          18             4.71527           0.0329839           0.0373004          0.00499303
          18             5.00104            0.009947           0.0187051          0.00340757
          18             5.28682           0.0336481           0.0131754          0.00290946
          18             5.57259           0.0051193          0.00676454          0.00192832
          18             5.85836          0.00176584          0.00221404         0.000814993
          18             6.14414                   0          0.00049591         0.000450562
          18             6.42991                   0          0.00148413         0.000997083
          18             6.71568                   0          0.00160563           0.0010736
          18             7.00146                   0         7.65016e-05         7.43461e-05
          18             7.28723                   0                   0                   0
          18             7.57301                   0                   0                   0
          18             7.85878                   0                   0                   0
          18             8.14455                   0                   0                   0
          18             8.43033                   0                   0                   0


          19            0.142887                   0          0.00204295         0.000587282
          19            0.428661           0.0208012           0.0393011          0.00376923
