#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
         551             1.47584             1.43804         0.000587542
         552             1.47617             1.43811         0.000590523
         553              1.4765             1.43818         0.000593522
         554             1.47684             1.43825         0.000596538
         555             1.47718             1.43832         0.000599572
         556             1.47752             1.43839         0.000602624
         557             1.47786             1.43846         0.000605694
         558              1.4782             1.43853         0.000608781
         559             1.47855              1.4386         0.000611887
         560              1.4789             1.43868         0.000615011
         561             1.47926             1.43875         0.000618154
         562             1.47961             1.43882         0.000621315
         563             1.47997             1.43889         0.000624496
         564             1.48033             1.43897         0.000627695
         565             1.48069             1.43904         0.000630913
         566             1.48106             1.43912          0.00063415
         567             1.48143             1.43919         0.000637407
         568              1.4818             1.43927         0.000640684
         569             1.48217             1.43934          0.00064398
         570             1.48255             1.43942         0.000647296
         571             1.48293             1.43949         0.000650632
         572             1.48331             1.43957         0.000653988
         573             1.48369             1.43965         0.000657365
         574             1.48408             1.43972         0.000660762
         575             1.48447              1.4398         0.000664179
         576             1.48486             1.43988         0.000667618
         577             1.48526             1.43996         0.000671077
         578             1.48566             1.44004         0.000674557
         579             1.48606             1.44012         0.000678058
         580             1.48646              1.4402         0.000681581
         581             1.48687             1.44028         0.000685124
         582             1.48728             1.44036          0.00068869
         583             1.48769             1.44044         0.000692277
         584              1.4881             1.44052         0.000695886
         585             1.48852              1.4406         0.000699516
         586             1.48894             1.44069         0.000703169
         587             1.48936             1.44077         0.000706844
         588             1.48979             1.44085         0.000710541
         589             1.49022             1.44094          0.00071426
         590             1.49065             1.44102         0.000718002
         591             1.49108              1.4411         0.000721766
         592             1.49152             1.44119         0.000725552
         593             1.49195             1.44128         0.000729361
         594              1.4924             1.44136         0.000733193
         595             1.49284             1.44145         0.000737048
         596             1.49328             1.44154         0.000740925
         597             1.49373             1.44162         0.000744825
         598             1.49418             1.44171         0.000748747
         599             1.49464              1.4418         0.000752693
         600             1.49509             1.44189         0.000756661
         601             1.49555             1.44198         0.000760652
         602             1.49601             1.44207         0.000764666
         603             1.49647             1.44216         0.000768703
         604             1.49694             1.44225         0.000772762
         605              1.4974             1.44234         0.000776843
         606             1.49787             1.44243         0.000780947
         607             1.49834             1.44252         0.000785074
         608             1.49881             1.44262         0.000789222
         609             1.49928             1.44271         0.000793393
         610             1.49976              1.4428         0.000797586
         611             1.50023              1.4429           0.0008018
         612             1.50071             1.44299         0.000806036
         613             1.50119             1.44309         0.000810293
         614             1.50167             1.44318          0.00081457
         615             1.50214             1.44328         0.000818869
         616             1.50262             1.44337         0.000823188
         617              1.5031             1.44347         0.000827526
