#     BLOCK:         BIN_CENTER:           ACTUAL_V:              V_AVE:              ERROR:
          19             6.18373          0.00360564         0.000657419         0.000295068
          19             6.47135                   0         0.000132162         0.000128637
          19             6.75896                   0         0.000474426         0.000461772
          19             7.04658                   0                   0                   0
          19             7.33419                   0                   0                   0
          19             7.62181                   0                   0                   0
          19             7.90942                   0                   0                   0
          19             8.19704                   0                   0                   0
          19             8.48465                   0                   0                   0


          20            0.143808          0.00722737           0.0067155          0.00124284
          20            0.431423           0.0518793           0.0450576          0.00363666
          20            0.719038           0.0944548            0.131797           0.0078722
          20             1.00665              0.2433            0.200403           0.0093581
          20             1.29427            0.328628            0.320923           0.0109278
          20             1.58188            0.348218             0.40471           0.0134163
          20              1.8695             0.36454            0.384347          0.00996423
          20             2.15712            0.428588            0.373584           0.0126504
          20             2.44473            0.423759            0.371009          0.00905922
          20             2.73235             0.36132            0.352463           0.0140119
          20             3.01996            0.327179            0.302697           0.0139356
          20             3.30758            0.180008            0.210799           0.0118974
          20             3.59519            0.118986            0.149373          0.00828917
          20             3.88281           0.0715011           0.0857844          0.00503973
          20             4.17042            0.058656            0.057481           0.0044958
          20             4.45804            0.023662           0.0281779          0.00418746
          20             4.74565           0.0126519           0.0228588          0.00416937
          20             5.03327           0.0150503           0.0158616          0.00243546
          20             5.32088          0.00878874          0.00796621          0.00246043
          20              5.6085          0.00486117          0.00156861         0.000699689
          20             5.89612          0.00360564          0.00208853           0.0009908
          20             6.18373                   0         0.000624548          0.00028214
          20             6.47135                   0         0.000125553         0.000122374
          20             6.75896                   0         0.000450705         0.000439293
          20             7.04658                   0                   0                   0
          20             7.33419                   0                   0                   0
          20             7.62181                   0                   0                   0
          20             7.90942                   0                   0                   0
          20             8.19704                   0                   0                   0
          20             8.48465                   0                   0                   0


