# GENERATION:    START CITY:        CITY 2:        CITY 3:        CITY 4:        CITY 5:        CITY 6:        CITY 7:        CITY 8:        CITY 9:       CITY 10:       CITY 11:       CITY 12:       CITY 13:       CITY 14:       CITY 15:       CITY 16:       CITY 17:       CITY 18:       CITY 19:       CITY 20:       CITY 21:       CITY 22:       CITY 23:       CITY 24:       CITY 25:       CITY 26:       CITY 27:       CITY 28:       CITY 29:       CITY 30:       CITY 31:       CITY 32:       CITY 33:       CITY 34:     LAST CITY:
          129              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          130              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          131              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          132              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          133              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          134              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          135              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          136              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          137              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          138              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          139              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          140              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          141              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          142              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          143              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          144              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          145              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          146              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          147              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          148              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          149              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
          150              1              6             23              7             20              9             34             11             27             18             28             24             29             15             16             14             33             21             10             19             30              4             22              2             13              3             12             26             31              8             17              5             32             25              1
