#                 X:                  Y:                  Z:
            0.117704                   0                   0
            0.117704                   0                   0
           -0.538493                   0                   0
           -0.538493                   0                   0
           -0.538493                   0                   0
           -0.538493                   0                   0
            -1.17616                   0                   0
            -1.28086                   0                   0
            -1.28086                   0                   0
             -1.5082                   0                   0
             -1.0272                   0                   0
             -1.0272                   0                   0
             -1.0272                   0                   0
           -0.699883                   0                   0
           -0.790137                   0                   0
            0.737482                   0                   0
           -0.711742                   0                   0
           -0.711742                   0                   0
           -0.711742                   0                   0
           -0.711742                   0                   0
            0.329599                   0                   0
            0.329599                   0                   0
           -0.994452                   0                   0
            0.709259                   0                   0
            0.709259                   0                   0
            0.709259                   0                   0
            0.709259                   0                   0
           -0.324684                   0                   0
            0.280399                   0                   0
           0.0604523                   0                   0
             0.33519                   0                   0
            0.608135                   0                   0
            0.608135                   0                   0
            0.608135                   0                   0
            -1.44849                   0                   0
            -1.44849                   0                   0
            -1.44849                   0                   0
            -1.33032                   0                   0
           -0.756266                   0                   0
            0.382763                   0                   0
             1.34481                   0                   0
            -1.03829                   0                   0
           -0.570327                   0                   0
           -0.570327                   0                   0
             1.45903                   0                   0
            0.255962                   0                   0
            0.255962                   0                   0
            0.207662                   0                   0
            0.207662                   0                   0
            -1.02638                   0                   0
            0.483018                   0                   0
            0.483018                   0                   0
            0.483018                   0                   0
           -0.465372                   0                   0
           -0.465372                   0                   0
            0.895455                   0                   0
            0.580476                   0                   0
            0.580476                   0                   0
             1.06485                   0                   0
            0.606419                   0                   0
            0.606419                   0                   0
            0.606419                   0                   0
           -0.878488                   0                   0
           -0.878488                   0                   0
             1.24398                   0                   0
             1.24398                   0                   0
           -0.476406                   0                   0
            0.509915                   0                   0
            -1.35253                   0                   0
           -0.663481                   0                   0
           -0.663481                   0                   0
           -0.663481                   0                   0
           -0.663481                   0                   0
            0.578465                   0                   0
             1.25775                   0                   0
             1.25775                   0                   0
           -0.364805                   0                   0
             1.16575                   0                   0
             1.16575                   0                   0
             1.16575                   0                   0
            -1.37329                   0                   0
            0.453232                   0                   0
            0.453232                   0                   0
           -0.244746                   0                   0
           -0.856074                   0                   0
           -0.856074                   0                   0
           -0.856074                   0                   0
           -0.856074                   0                   0
             1.20514                   0                   0
              1.3805                   0                   0
              1.3805                   0                   0
              1.3805                   0                   0
            0.885404                   0                   0
            0.885404                   0                   0
            0.885404                   0                   0
            0.885404                   0                   0
           -0.969086                   0                   0
           -0.969086                   0                   0
              1.0369                   0                   0
             1.75485                   0                   0
            0.135673                   0                   0
            0.135673                   0                   0
            0.135673                   0                   0
            0.135673                   0                   0
            0.135673                   0                   0
            -1.14458                   0                   0
           -0.999397                   0                   0
            0.233804                   0                   0
            0.233804                   0                   0
            -1.28761                   0                   0
            -1.28761                   0                   0
            -1.28761                   0                   0
            -1.28761                   0                   0
            -1.53439                   0                   0
            -1.53439                   0                   0
