#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
         343           -0.243332           -0.448807           0.0233202
         344           -0.122704           -0.447859           0.0232717
         345          -0.0990283           -0.446848           0.0232262
         346           -0.101382            -0.44585           0.0231805
         347           -0.750113           -0.446726           0.0231303
         348           -0.750113           -0.447598           0.0230802
         349           -0.750113           -0.448465           0.0230304
         350           -0.750113           -0.449327           0.0229807
         351           -0.744501           -0.450168           0.0229306
         352            -1.10447           -0.452027           0.0229407
         353            -1.08126           -0.453809           0.0229448
         354            -1.08126           -0.455582           0.0229484
         355           -0.743445           -0.456393           0.0228981
         356           -0.743445           -0.457199           0.0228479
         357           -0.019762           -0.455974           0.0228168
         358           -0.330777           -0.455624           0.0227557
         359           -0.834441           -0.456679           0.0227168
         360            -1.05599           -0.458344           0.0227146
         361           -0.351074           -0.458047           0.0226536
         362           -0.351074           -0.457751            0.022593
         363           -0.351074           -0.457457           0.0225326
         364           -0.351074           -0.457165           0.0224726
         365            -0.28001            -0.45668           0.0224163
         366           -0.666992           -0.457254           0.0223624
         367           -0.666992           -0.457826           0.0223088
         368           -0.744833           -0.458606           0.0222618
         369           -0.846225           -0.459656           0.0222262
         370           -0.152575           -0.458826           0.0221816
         371           -0.152575           -0.458001           0.0221372
         372           -0.152575            -0.45718           0.0220929
         373           -0.152575           -0.456363           0.0220488
         374            -1.05201           -0.457956           0.0220473
         375           -0.201408           -0.457272           0.0219991
         376           -0.122302           -0.456381           0.0219586
         377           -0.122302           -0.455495           0.0219182
         378           -0.188552           -0.454788           0.0218716
         379           -0.188552           -0.454086           0.0218252
         380           -0.188552           -0.453387           0.0217789
         381           -0.188552           -0.452692           0.0217329
         382           -0.493206           -0.452798           0.0216762
         383           -0.493206           -0.452904           0.0216199
         384          0.00237744           -0.451718           0.0215961
         385            -1.04904           -0.453269           0.0215957
         386           -0.593188           -0.453632           0.0215427
         387           -0.593188           -0.453993           0.0214901
         388            -0.79087           -0.454861           0.0214522
         389           -0.890791           -0.455981           0.0214263
         390           -0.391347           -0.455816            0.021372
         391           -0.391347           -0.455651            0.021318
         392            -1.07779           -0.457238           0.0213226
         393            -1.07779           -0.458817           0.0213268
         394            -1.07779           -0.460388           0.0213304
         395          -0.0523378           -0.459355           0.0213014
         396          -0.0523378           -0.458327           0.0212724
         397            -0.58659            -0.45865           0.0212213
         398            -0.58659           -0.458972           0.0211704
         399          -0.0206092           -0.457873           0.0211458
         400          -0.0480037           -0.456848           0.0211178
         401           -0.930338           -0.458029           0.0210981
         402          -0.0269882           -0.456957           0.0210728
         403           -0.333784           -0.456651           0.0210228
         404           -0.834764           -0.457587           0.0209916
         405          -0.0156258           -0.456496           0.0209681
         406          -0.0156258            -0.45541           0.0209445
         407          -0.0156258           -0.454329           0.0209209
         408          -0.0156258           -0.453254           0.0208973
         409            -1.05243           -0.454719           0.0208975
         410            -1.05243           -0.456177           0.0208973
         411            -1.05243           -0.457628           0.0208967
         412            -1.05243           -0.459071           0.0208958
         413            -1.05243           -0.460508           0.0208946
         414            -1.05243           -0.461938           0.0208929
         415            -1.05243           -0.463361            0.020891
         416            -1.05243           -0.464777           0.0208887
         417            -1.05243           -0.466186           0.0208861
         418            -1.05243           -0.467589           0.0208832
         419           -0.372432           -0.467361           0.0208346
         420           -0.372432           -0.467135           0.0207862
         421         0.000438886           -0.466025           0.0207665
         422         0.000438886           -0.464919           0.0207466
         423         0.000438886           -0.463819           0.0207268
         424         0.000438886           -0.462724           0.0207068
         425         0.000438886           -0.461635           0.0206867
         426         0.000438886            -0.46055           0.0206666
         427         0.000438886            -0.45947           0.0206463
         428          0.00220089           -0.458392           0.0206263
         429          0.00220089           -0.457318           0.0206061
         430          0.00220089           -0.456249           0.0205859
         431          0.00220089           -0.455186           0.0205656
         432          0.00220089           -0.454127           0.0205452
         433          0.00238434           -0.453073           0.0205248
         434          0.00238434           -0.452023           0.0205043
         435          0.00238434           -0.450979           0.0204838
         436          0.00238434           -0.449939           0.0204632
         437          0.00238434           -0.448904           0.0204425
         438           -0.118925            -0.44815           0.0204097
         439           -0.118925             -0.4474            0.020377
         440           -0.849466           -0.448314           0.0203511
         441           -0.240338           -0.447843           0.0203105
         442           -0.240338           -0.447373           0.0202699
         443          -0.0460424           -0.446467           0.0202444
         444          -0.0460424           -0.445565           0.0202189
         445           -0.873573           -0.446527           0.0201963
         446            -1.09195           -0.447974           0.0202028
         447            -1.09195           -0.449415           0.0202089
         448            -1.09195           -0.450849           0.0202147
         449            -1.09195           -0.452277             0.02022
         450           -0.286268           -0.451908           0.0201784
         451           -0.286268           -0.451541            0.020137
         452           -0.650347           -0.451981           0.0200973
         453           -0.650347           -0.452419           0.0200577
         454            -1.03378           -0.453699           0.0200543
         455          -0.0492081            -0.45281             0.02003
         456          -0.0492081           -0.451925           0.0200056
         457           -0.607431           -0.452265           0.0199647
         458           -0.607431           -0.452604            0.019924
         459           -0.259131           -0.452183            0.019885
         460           -0.380211           -0.452026           0.0198424
         461           -0.380211            -0.45187              0.0198
         462           -0.380211           -0.451715           0.0197577
         463           -0.380211           -0.451561           0.0197157
         464           -0.380211           -0.451407           0.0196738
         465           -0.380211           -0.451254           0.0196321
         466           -0.380211           -0.451101           0.0195905
         467           -0.436099           -0.451069           0.0195486
         468           -0.436099           -0.451037           0.0195069
         469           -0.326664           -0.450772           0.0194671
         470           -0.326664           -0.450508           0.0194274
         471           -0.326664           -0.450245            0.019388
         472           -0.326664           -0.449983           0.0193487
         473           -0.326664           -0.449723           0.0193095
         474           -0.326664           -0.449463           0.0192705
         475         -0.00373953           -0.448525           0.0192528
         476           -0.388392           -0.448398           0.0192128
         477           -0.388392           -0.448272           0.0191729
         478           -0.352077           -0.448071           0.0191338
         479           -0.352077           -0.447871           0.0190949
         480           -0.352077           -0.447671           0.0190562
         481             -1.0458           -0.448915           0.0190571
         482             -1.0458           -0.450153           0.0190578
         483           -0.188873           -0.449612            0.019026
         484           -0.188873           -0.449073           0.0189943
         485           -0.188873           -0.448537           0.0189627
         486           -0.188873           -0.448003           0.0189312
         487           -0.167174           -0.447426           0.0189011
         488           -0.167174           -0.446852           0.0188711
         489           -0.565575           -0.447094           0.0188341
         490           -0.565575           -0.447336           0.0187972
         491           -0.565575           -0.447577           0.0187605
         492          -0.0537001           -0.446777           0.0187394
         493          -0.0537001           -0.445979           0.0187183
         494          -0.0537001           -0.445185           0.0186973
         495           -0.287441           -0.444866           0.0186622
         496           -0.180226           -0.444333           0.0186322
         497           -0.347549           -0.444138           0.0185958
         498            -1.03382           -0.445322           0.0185961
         499           -0.458246           -0.445348           0.0185588
         500           -0.542387           -0.445542           0.0185227
         501           -0.542387           -0.445736           0.0184868
         502           -0.542387           -0.445928           0.0184509
         503           -0.259216           -0.445557            0.018418
         504          -0.0172901           -0.444707            0.018401
         505            -1.04368           -0.445893           0.0184028
         506            -1.04368           -0.447075           0.0184043
         507         -0.00627506           -0.446205           0.0183885
         508            -1.07688           -0.447447           0.0183942
         509           -0.118909           -0.446801           0.0183694
         510           -0.118909           -0.446158           0.0183446
         511           -0.118909           -0.445518           0.0183199
         512           -0.118909            -0.44488           0.0182952
         513           -0.118909           -0.444245           0.0182706
         514           -0.118909           -0.443612            0.018246
         515           -0.118909           -0.442981           0.0182214
         516            -0.13792            -0.44239           0.0181957
         517            -0.13792           -0.441801           0.0181701
         518            -0.13792           -0.441214           0.0181444
         519            -0.13792            -0.44063           0.0181189
         520            -0.13792           -0.440048           0.0180934
         521            -0.13792           -0.439468            0.018068
         522           -0.445049           -0.439479           0.0180333
         523           -0.160082           -0.438944           0.0180068
         524        -0.000164118           -0.438107           0.0179919
         525        -0.000164118           -0.437273           0.0179769
         526        -0.000164118           -0.436442            0.017962
         527        -0.000164118           -0.435614           0.0179469
         528        -0.000164118           -0.434789           0.0179319
         529          -0.0146874           -0.433995           0.0179156
         530          -0.0146874           -0.433204           0.0178992
         531          -0.0146874           -0.432416           0.0178829
         532           -0.452798           -0.432454           0.0178493
         533           -0.452798           -0.432492           0.0178158
         534           -0.452798            -0.43253           0.0177825
         535           -0.452798           -0.432568           0.0177493
         536           -0.452798           -0.432606           0.0177162
         537           -0.452798           -0.432644           0.0176833
         538           -0.233138           -0.432273           0.0176543
         539            -1.06875           -0.433454            0.017661
         540          -0.0985057           -0.432833           0.0176392
         541           -0.344818           -0.432671           0.0176073
         542         -0.00198959           -0.431876           0.0175928
         543           -0.350098           -0.431725            0.017561
         544           -0.350098           -0.431575           0.0175294
         545           -0.350098           -0.431426           0.0174978
         546           -0.350098           -0.431277           0.0174664
         547           -0.350098           -0.431128           0.0174351
         548           -0.240382            -0.43078           0.0174068
