#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
            0.044956            0.886467            0.568373           -0.378281           0.0185133                 0.9           -0.574044
            0.044758             0.53889            0.567235           -0.401876           0.0197033                0.62           -0.704715
             0.04456             1.00366            0.571935           -0.270348             0.01335                0.92            -1.18475
            0.044362             1.09057            0.566667           -0.247557           0.0124322                0.96           -0.735784
            0.044164            0.687276            0.577006           -0.393193           0.0192286                0.78           -0.615139
            0.043966            0.585598            0.571578           -0.382227           0.0186872                 0.8            -1.08305
            0.043768            0.784351            0.570496            -0.42557           0.0207973                0.92           -0.101336
             0.04357            0.793155            0.571976           -0.417078           0.0204133                0.68           -0.707211
            0.043372            0.738515            0.571416           -0.407272           0.0199341                 0.7            -1.16193
            0.043174            0.950657            0.576629           -0.406965           0.0198815                0.74           -0.537726
            0.042976            0.689851            0.580662           -0.393467           0.0192381                 0.8             1.39292
            0.042778             0.62207            0.578976            -0.33416           0.0163777                0.92           -0.130592
             0.04258            0.811729             0.57788           -0.443865           0.0216622                0.98            -1.35451
            0.042382            0.889303            0.584579           -0.393273           0.0192109                0.66             1.27803
            0.042184            0.876335            0.584074            -0.41011           0.0200425                0.84             -1.5871
            0.041986            0.817694            0.585424            -0.44468           0.0217093                0.68           -0.759902
            0.041788            0.942186             0.58455           -0.434656           0.0212353                0.56            0.734306
             0.04159            0.931342            0.586776           -0.374474              0.0183                0.86            0.673082
            0.041392            0.739851            0.582648           -0.426532           0.0208244                0.76             1.15959
            0.041194            0.922576            0.585424           -0.423099           0.0206483                0.76            0.867384
            0.040996            0.872621             0.58527           -0.413021           0.0202003                0.84          -0.0986069
            0.040798            0.836918            0.585058           -0.432053           0.0210948                0.76             1.17876
              0.0406            0.801356            0.584458            -0.44271           0.0216121                0.78          -0.0830683
            0.040402            0.750512            0.582278           -0.426733           0.0208464                 0.6            -1.18612
            0.040204            0.883999            0.583058            -0.42457           0.0207137                0.78           -0.986594
            0.040006            0.722338            0.577429           -0.413269           0.0202007                0.82            -0.19212
            0.039808            0.719128            0.577156           -0.401847           0.0196119                0.78            0.468999
             0.03961            0.854569            0.577509           -0.424576           0.0207659                0.84           -0.690394
            0.039412            0.925155            0.573232           -0.403749           0.0197117                0.76            0.621292
            0.039214            0.867208             0.57707           -0.414723           0.0202625                0.86           -0.859135
            0.039016            0.817403            0.586573            -0.43414           0.0211977                0.82            -1.50352
            0.038818            0.687684            0.583555            -0.44165            0.021548                0.62           -0.996481
             0.03862            0.676751            0.582671           -0.375975           0.0184013                0.74            0.553871
            0.038422             0.83836            0.585826           -0.414922            0.020306                0.84            -1.09766
            0.038224            0.838095            0.582847           -0.433223           0.0211669                0.66            0.410476
            0.038026            0.923176            0.578981           -0.375559           0.0183691                0.84           -0.700686
            0.037828             1.03616            0.577613            -0.35727           0.0175325                0.72            -1.10232
             0.03763            0.449012            0.580456           -0.206229           0.0102997                0.94            0.645763
            0.037432            0.665092             0.57756           -0.375863           0.0183592                0.96           -0.518574
            0.037234             1.00781            0.570523           -0.366927           0.0179484                 0.8           -0.630204
            0.037036            0.569956            0.565434           -0.265678           0.0132804                0.86            0.376745
            0.036838            0.984428            0.569538            -0.29893           0.0146535                0.86            0.399324
             0.03664            0.507052            0.565322           -0.282419           0.0138693                0.96            -1.28718
            0.036442             1.09259            0.561763           -0.169138          0.00857063                0.88             0.05933
            0.036244            0.755331            0.557259           -0.411245           0.0202003                0.86            -1.02655
            0.036046            0.775698             0.56232           -0.418071           0.0204361                 0.6             1.17743
            0.035848            0.648343            0.563617           -0.422379           0.0206616                0.66           -0.749518
             0.03565            0.740387            0.559857           -0.391012           0.0190968                0.82           -0.931162
            0.035452            0.819895            0.562031            -0.40974           0.0200521                0.74           -0.937098
            0.035254            0.950993            0.566077           -0.423702           0.0207033                0.62             1.38199
            0.035056            0.903541            0.566678           -0.385794           0.0188627                0.76            0.655964
            0.034858            0.726803            0.566548           -0.406988           0.0198744                0.86            0.858793
             0.03466             0.71896             0.57287           -0.402207           0.0196221                 0.8            0.955867
            0.034462            0.895076            0.569168           -0.393769           0.0192992                0.76             1.30345
            0.034264            0.773043            0.562511           -0.415305           0.0203133                0.72             1.92616
            0.034066            0.747831            0.563498           -0.412273           0.0202102                0.66            0.957097
            0.033868            0.889384            0.561426           -0.403594           0.0197099                0.76            -1.17856
             0.03367            0.829196            0.551285           -0.399346           0.0195202                0.62              -1.072
