#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
         346            -1.10159           -0.482842           0.0200511
         347             -1.0907           -0.484594           0.0200697
         348             -1.0907           -0.486336           0.0200875
         349           -0.775968           -0.487166            0.020047
         350           -0.775968           -0.487991           0.0200067
         351          -0.0123431           -0.486636           0.0199956
         352            -0.35685           -0.486267           0.0199422
         353           -0.859241           -0.487323           0.0199137
         354            -1.04378           -0.488895           0.0199193
         355           -0.325119           -0.488434           0.0198686
         356           -0.325119           -0.487975           0.0198181
         357           -0.325119           -0.487519           0.0197678
         358           -0.325119           -0.487065           0.0197178
         359            -0.25189            -0.48641           0.0196737
         360           -0.700906           -0.487006           0.0196281
         361           -0.700906           -0.487599           0.0195827
         362           -0.711624           -0.488218           0.0195384
         363           -0.815915            -0.48912           0.0195054
         364           -0.234289            -0.48842           0.0194643
         365           -0.234289           -0.487724           0.0194235
         366           -0.234289           -0.487032           0.0193827
         367           -0.234289           -0.486343           0.0193422
         368            -1.03897           -0.487845           0.0193478
         369           -0.223727           -0.487129           0.0193086
         370           -0.104879           -0.486096            0.019284
         371           -0.104879           -0.485068           0.0192594
         372           -0.213602           -0.484338           0.0192215
         373           -0.213602           -0.483613           0.0191836
         374           -0.213602           -0.482891           0.0191459
         375           -0.213602           -0.482173           0.0191083
         376           -0.459456           -0.482112           0.0190576
         377           -0.459456           -0.482052           0.0190071
         378          0.00182608           -0.480772           0.0189999
         379            -1.03543           -0.482235           0.0190061
         380           -0.621463           -0.482602           0.0189596
         381           -0.621463           -0.482966           0.0189133
         382           -0.764425           -0.483703           0.0188782
         383           -0.764425           -0.484436           0.0188431
         384          0.00205067           -0.483169           0.0188366
         385          0.00205067           -0.481909           0.0188297
         386            -1.05664           -0.483398           0.0188397
         387            -1.05664           -0.484879           0.0188492
         388            -1.05664           -0.486353           0.0188581
         389          -0.0529212           -0.485238           0.0188425
         390           -0.021264           -0.484049           0.0188317
         391           -0.021264           -0.482865           0.0188207
         392           -0.021264           -0.481688           0.0188095
         393           -0.448029           -0.481602           0.0187619
         394           -0.448029           -0.481517           0.0187144
         395          -0.0759515            -0.48049           0.0186952
         396          -0.0759515           -0.479468           0.0186759
         397           -0.781972            -0.48023           0.0186444
         398           -0.781972           -0.480988           0.0186129
         399           -0.034847            -0.47987           0.0185999
         400           -0.034847           -0.478758           0.0185866
         401           -0.034847           -0.477651           0.0185732
         402           -0.034847           -0.476549           0.0185596
         403            -1.02194           -0.477903           0.0185628
         404            -1.02194           -0.479249           0.0185657
         405            -1.02194           -0.480589           0.0185681
         406            -1.02194           -0.481923           0.0185702
         407            -1.02194           -0.483249           0.0185719
         408            -1.02194            -0.48457           0.0185733
         409            -1.02194           -0.485884           0.0185743
         410            -1.02194           -0.487191           0.0185749
         411            -1.02194           -0.488492           0.0185752
         412            -1.02194           -0.489787           0.0185752
         413           -0.438942           -0.489664           0.0185307
         414           -0.438942           -0.489541           0.0184863
         415         -0.00786349           -0.488381           0.0184782
         416         -0.00786349           -0.487226           0.0184698
         417         -0.00786349           -0.486076           0.0184613
         418         -0.00786349           -0.484932           0.0184525
         419         -0.00786349           -0.483793           0.0184436
         420         -0.00786349            -0.48266           0.0184344
         421         -0.00786349           -0.481532           0.0184251
         422         0.000464287            -0.48039           0.0184168
         423         0.000464287           -0.479253           0.0184083
         424         0.000464287           -0.478122           0.0183996
         425         0.000464287           -0.476996           0.0183908
         426         0.000464287           -0.475875           0.0183817
         427        -0.000525675           -0.474762           0.0183724
         428        -0.000525675           -0.473654           0.0183628
